股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600000,浦发银行,2016-01-04,18.28,18.28,17.55,17.8,18.27,42240610.0,754425783.0
sh600000,浦发银行,2016-01-05,17.51,18.06,17.4,17.96,17.8,58054793.0,1034181474.0
sh600000,浦发银行,2016-01-06,17.9,18.14,17.69,18.1,17.96,46772653.0,838667398.0
sh600000,浦发银行,2016-01-07,17.8,17.9,17.4,17.51,18.1,11350479.0,199502702.0
sh600000,浦发银行,2016-01-08,17.74,17.88,16.91,17.49,17.51,71918296.0,1262105060.0
sh600000,浦发银行,2016-01-11,17.21,17.45,16.96,17.05,17.49,90177135.0,1550155933.0
sh600000,浦发银行,2016-01-12,17.17,17.52,17.08,17.45,17.05,55374454.0,964061502.0
sh600000,浦发银行,2016-01-13,17.57,17.9,17.35,17.39,17.45,47869312.0,843717365.0
sh600000,浦发银行,2016-01-14,17.0,17.99,16.89,17.92,17.39,54838833.0,966117848.0
sh600000,浦发银行,2016-01-15,17.8,18.15,17.52,17.58,17.92,46723139.0,836146426.0
sh600000,浦发银行,2016-01-18,17.43,17.99,17.32,17.68,17.58,32729006.0,583291559.0
sh600000,浦发银行,2016-01-19,17.78,17.88,17.5,17.77,17.68,29807159.0,527753175.0
sh600000,浦发银行,2016-01-20,17.61,17.7,17.08,17.25,17.77,35968636.0,623546924.0
sh600000,浦发银行,2016-01-21,17.22,17.46,16.5,16.58,17.25,34197115.0,582845476.0
sh600000,浦发银行,2016-01-22,16.84,17.11,16.49,17.02,16.58,42007318.0,708179241.0
sh600000,浦发银行,2016-01-25,17.0,17.17,16.72,17.03,17.02,23558971.0,400445071.0
sh600000,浦发银行,2016-01-26,16.96,17.14,16.4,16.66,17.03,38279766.0,643611762.0
sh600000,浦发银行,2016-01-27,16.75,16.98,16.51,16.68,16.66,44291307.0,742640743.0
sh600000,浦发银行,2016-01-28,16.76,16.82,15.88,16.58,16.68,38902180.0,643984171.0
sh600000,浦发银行,2016-01-29,16.52,17.05,16.41,16.9,16.58,47429000.0,799493381.0
sh600000,浦发银行,2016-02-01,16.99,17.0,16.41,16.5,16.9,29139596.0,485275132.0
sh600000,浦发银行,2016-02-02,16.5,16.94,16.46,16.76,16.5,25380981.0,425396889.0
sh600000,浦发银行,2016-02-03,16.6,16.66,16.45,16.61,16.76,27779183.0,459255616.0
sh600000,浦发银行,2016-02-04,16.84,17.32,16.63,17.3,16.61,47162860.0,799283799.0
sh600000,浦发银行,2016-02-05,17.24,18.39,17.15,18.38,17.3,78413454.0,1401156041.0
sh600000,浦发银行,2016-02-15,17.98,18.48,17.8,18.45,18.38,67296317.0,1221398339.0
sh600000,浦发银行,2016-03-11,17.51,17.53,16.61,16.97,18.45,98240322.0,1657158636.0
sh600000,浦发银行,2016-03-14,16.88,17.47,16.82,16.86,16.97,56922239.0,973317374.0
sh600000,浦发银行,2016-03-15,16.95,17.19,16.81,17.02,16.86,37540932.0,638223050.0
sh600000,浦发银行,2016-03-16,16.92,18.07,16.91,18.03,17.02,108404378.0,1924212601.0
sh600000,浦发银行,2016-03-17,17.81,18.19,17.45,17.7,18.03,68635812.0,1219236346.0
sh600000,浦发银行,2016-03-18,17.79,18.0,17.65,17.84,17.7,55987968.0,996332597.0
sh600000,浦发银行,2016-03-21,17.78,18.25,17.78,18.06,17.84,42001532.0,756966797.0
sh600000,浦发银行,2016-03-22,18.09,18.63,18.02,18.15,18.06,43760811.0,800814893.0
sh600000,浦发银行,2016-03-23,18.16,18.35,18.06,18.13,18.15,27830795.0,506023215.0
sh600000,浦发银行,2016-03-24,18.11,18.11,17.68,17.72,18.13,27448272.0,488313660.0
sh600000,浦发银行,2016-03-25,17.72,17.87,17.68,17.74,17.72,13619185.0,241971869.0
sh600000,浦发银行,2016-03-28,17.78,18.0,17.37,17.45,17.74,24521696.0,433449200.0
sh600000,浦发银行,2016-03-29,17.53,17.66,17.37,17.45,17.45,19151152.0,335806206.0
sh600000,浦发银行,2016-03-30,17.65,17.95,17.65,17.87,17.45,35562148.0,634175207.0
sh600000,浦发银行,2016-03-31,17.98,18.08,17.72,17.93,17.87,23762112.0,425380429.0
sh600000,浦发银行,2016-04-01,17.98,18.25,17.61,18.18,17.93,35790541.0,643979468.0
sh600000,浦发银行,2016-04-05,17.94,18.29,17.76,18.17,18.18,42622297.0,768010128.0
sh600000,浦发银行,2016-04-06,18.03,18.14,17.87,17.96,18.17,23428724.0,421234846.0
sh600000,浦发银行,2016-04-07,17.95,18.0,17.63,17.69,17.96,29047713.0,516129852.0
sh600000,浦发银行,2016-04-08,17.56,17.76,17.53,17.6,17.69,17132244.0,301704521.0
sh600000,浦发银行,2016-04-11,17.6,17.82,17.55,17.67,17.6,24117635.0,426862387.0
sh600000,浦发银行,2016-04-12,17.69,17.7,17.53,17.62,17.67,14100759.0,248002295.0
